870,699,477,322,340,706,121,647,500,919
778,869,859,905,493,202,446,158,636,968
240,985,804,610,251,845,90,601,878,339
221,482,229,874,184,608,407,971,187,834
792,145,531,63,467,211,414,699,912,639
155,457,409,12,676,812,297,726,705,880
497,190,358,668,308,951,15,454,678,493
822,355,254,705,584,365,412,692,734,790
79,642,825,603,47,204,231,283,512,185
726,19,53,397,177,893,254,30,861,629
340,931,713,58,664,115,316,534,156,374
503,85,986,902,952,378,210,535,680,94
793,994,296,287,916,284,179,999,831,382
517,377,801,934,617,657,334,735,265,132
635,696,855,769,981,290,309,976,612,391
252,891,823,383,271,380,99,354,993,115
857,835,817,467,799,866,995,310,430,135
457,627,487,103,407,518,419,128,704,975
376,748,202,556,823,847,652,75,288,756
985,151,417,314,738,935,260,382,353,363
